joint_idx,x,y,z
0,-1.6800868511199951,1.282458782196045,2.2398626804351807
1,-1.6034687757492065,1.2093961238861084,2.2109596729278564
2,-1.699477195739746,1.1935083866119385,2.2998037338256836
3,-1.7310736179351807,1.365625023841858,2.201284408569336
4,-1.2860159873962402,1.0871737003326416,2.353350877761841
5,-1.5221542119979858,0.99258953332901,2.5537619590759277
6,-1.7346519231796265,1.503394365310669,2.2123053073883057
7,-1.1597269773483276,0.7328199148178101,2.4156763553619385
8,-1.4733377695083618,0.6344690918922424,2.4055888652801514
9,-1.7178752422332764,1.5511749982833862,2.2408273220062256
10,-1.0438232421875,0.7173347473144531,2.464143991470337
11,-1.4659512042999268,0.6010121703147888,2.5258069038391113
12,-1.742289423942566,1.7505475282669067,2.229124069213867
13,-1.6788960695266724,1.6690585613250732,2.1848762035369873
14,-1.7979013919830322,1.6604182720184326,2.267364263534546
15,-1.6820297241210938,1.7879092693328857,2.2736291885375977
16,-1.603730320930481,1.6993396282196045,2.161989212036133
17,-1.8477262258529663,1.6937170028686523,2.332200527191162
18,-1.3826507329940796,1.6299936771392822,2.2490592002868652
19,-1.9238014221191406,1.657127857208252,2.5648858547210693
20,-1.4415009021759033,1.7236984968185425,2.4472193717956543
21,-1.806559681892395,1.8139562606811523,2.6944985389709473
22,-1.4631437063217163,1.778320550918579,2.4978158473968506
23,-1.7910354137420654,1.8817615509033203,2.7293267250061035
