joint_idx,x,y,z
0,-1.5893834829330444,1.328636646270752,2.2283947467803955
1,-1.5172077417373657,1.2510313987731934,2.1977174282073975
2,-1.6088755130767822,1.2407925128936768,2.2900609970092773
3,-1.6388185024261475,1.413724422454834,2.1901469230651855
4,-1.2432925701141357,1.0321321487426758,2.29318904876709
5,-1.4654490947723389,1.0044293403625488,2.532742977142334
6,-1.6527220010757446,1.5484493970870972,2.1935274600982666
7,-1.0697436332702637,0.7006664276123047,2.3519837856292725
8,-1.4733086824417114,0.6362612843513489,2.4055118560791016
9,-1.6379016637802124,1.5976574420928955,2.218224287033081
10,-0.961754322052002,0.6773414611816406,2.4150192737579346
11,-1.469015121459961,0.6005249619483948,2.525716543197632
12,-1.6850647926330566,1.795170783996582,2.204543113708496
13,-1.6172373294830322,1.718880534172058,2.156691551208496
14,-1.726157307624817,1.699923038482666,2.253321647644043
15,-1.6352622509002686,1.8489738702774048,2.251279354095459
16,-1.5429956912994385,1.7469141483306885,2.1265478134155273
17,-1.772972822189331,1.7218875885009766,2.326232671737671
18,-1.3436836004257202,1.6424285173416138,2.22090220451355
19,-1.835350751876831,1.6388362646102905,2.5486531257629395
20,-1.4264976978302002,1.7103502750396729,2.4215621948242188
21,-1.7850695848464966,1.7725468873977661,2.7340519428253174
22,-1.45258367061615,1.7551566362380981,2.480437755584717
23,-1.7911124229431152,1.8251323699951172,2.7918972969055176
