joint_idx,x,y,z
0,-1.4751585721969604,1.4518669843673706,2.341197967529297
1,-1.3931535482406616,1.3785231113433838,2.348140001296997
2,-1.5191242694854736,1.3523142337799072,2.3487346172332764
3,-1.4973361492156982,1.547341227531433,2.3030176162719727
4,-1.238258719444275,1.092897653579712,2.5068819522857666
5,-1.5322444438934326,1.0009040832519531,2.4524056911468506
6,-1.5268255472183228,1.6803982257843018,2.3119428157806396
7,-1.1579738855361938,0.7236956357955933,2.4765524864196777
8,-1.4302561283111572,0.6356845498085022,2.4189670085906982
9,-1.5423213243484497,1.7268660068511963,2.3433289527893066
10,-1.1141427755355835,0.6868864893913269,2.589991569519043
11,-1.4741754531860352,0.599452793598175,2.53084135055542
12,-1.6413342952728271,1.8993282318115234,2.3078737258911133
13,-1.5343059301376343,1.862203598022461,2.314208745956421
14,-1.6609070301055908,1.7921562194824219,2.3180034160614014
15,-1.6371867656707764,1.985175609588623,2.3399617671966553
16,-1.4852375984191895,1.92624831199646,2.331223249435425
17,-1.7325550317764282,1.7794203758239746,2.3558828830718994
18,-1.3168280124664307,1.9966647624969482,2.502471685409546
19,-1.6633331775665283,1.6836223602294922,2.5822885036468506
20,-1.3060786724090576,2.083649158477783,2.7125489711761475
21,-1.5271880626678467,1.8463486433029175,2.684238910675049
22,-1.3017234802246094,2.1218488216400146,2.781100273132324
23,-1.4869941473007202,1.9044564962387085,2.7189137935638428
