joint_idx,x,y,z
0,-1.3947887420654297,1.085536241531372,1.9879686832427979
1,-1.3164012432098389,1.0175319910049438,2.0205256938934326
2,-1.4473720788955688,1.0173355340957642,2.0555429458618164
3,-1.4156724214553833,1.1473908424377441,1.9077222347259521
4,-1.0897622108459473,0.9996209740638733,2.315471649169922
5,-1.4517430067062378,1.0245438814163208,2.424973964691162
6,-1.4204386472702026,1.2871791124343872,1.903793454170227
7,-1.0894254446029663,0.6219794154167175,2.3923468589782715
8,-1.4368276596069336,0.6315817832946777,2.420182466506958
9,-1.4285600185394287,1.3356983661651611,1.9371851682662964
10,-1.003645896911621,0.6174135208129883,2.484764814376831
11,-1.4664151668548584,0.6124969124794006,2.539144277572632
12,-1.5014127492904663,1.5159004926681519,1.889021873474121
13,-1.4041821956634521,1.4684993028640747,1.9068031311035156
14,-1.53769850730896,1.4114603996276855,1.9064334630966187
15,-1.4882621765136719,1.6043946743011475,1.9264106750488281
16,-1.3646291494369507,1.5349962711334229,1.9353469610214233
17,-1.6138207912445068,1.399449348449707,1.9476981163024902
18,-1.2997678518295288,1.6393038034439087,2.159487724304199
19,-1.5814675092697144,1.2824726104736328,2.169555187225342
20,-1.3572818040847778,1.7881512641906738,2.326895236968994
21,-1.4916917085647583,1.3555433750152588,2.377507209777832
22,-1.3660624027252197,1.8407566547393799,2.385129451751709
23,-1.4729819297790527,1.3760470151901245,2.4509100914001465
