joint_idx,x,y,z
0,-0.31379327178001404,1.2405837774276733,6.29949426651001
1,-0.4077709913253784,1.2998981475830078,6.292451858520508
2,-0.30688896775245667,1.3009939193725586,6.392760753631592
3,-0.25009459257125854,1.1914695501327515,6.236055374145508
4,-0.7488330602645874,1.326673150062561,6.404345989227295
5,-0.38729700446128845,1.144690990447998,6.709211349487305
6,-0.21894954144954681,1.0532678365707397,6.225793838500977
7,-0.42674651741981506,1.5038965940475464,6.2864837646484375
8,-0.45931291580200195,1.4758222103118896,6.49692964553833
9,-0.21879340708255768,0.9971355199813843,6.247570991516113
10,-0.49255385994911194,1.6087241172790527,6.307548522949219
11,-0.5072008967399597,1.5356309413909912,6.59401798248291
12,-0.11284207552671432,0.8343732357025146,6.205648422241211
13,-0.20449355244636536,0.8839951157569885,6.17379903793335
14,-0.1011633351445198,0.9287107586860657,6.261258602142334
15,-0.14791077375411987,0.7645895481109619,6.242004871368408
16,-0.25005674362182617,0.8183708190917969,6.149219512939453
17,-0.047664545476436615,0.8987816572189331,6.322598934173584
18,-0.4565952718257904,0.6714080572128296,6.171444892883301
19,-0.0019755391404032707,0.8559188842773438,6.565600395202637
20,-0.4475236237049103,0.46819841861724854,6.2723846435546875
21,-0.08740372210741043,0.636441707611084,6.580161094665527
22,-0.4489467442035675,0.39949434995651245,6.311642646789551
23,-0.12713058292865753,0.5676167011260986,6.582025527954102
