joint_idx,x,y,z
0,0.055245671421289444,0.12029911577701569,5.806949138641357
1,-0.038065455853939056,0.1408882588148117,5.860621452331543
2,0.08657270669937134,0.15344350039958954,5.905620098114014
3,0.09265227615833282,0.1166955828666687,5.7097625732421875
4,-0.28135016560554504,0.07340943813323975,6.125706195831299
5,0.08376547694206238,-0.000615080411080271,6.244219779968262
6,0.1277570277452469,0.0248909629881382,5.616583347320557
7,-0.41821134090423584,0.43334951996803284,6.145682334899902
8,-0.03284164518117905,0.23431842029094696,6.529324054718018
9,0.13687780499458313,-0.030027978122234344,5.6042938232421875
10,-0.5128307938575745,0.40778037905693054,6.222611427307129
11,-0.009122233837842941,0.16343191266059875,6.6274919509887695
12,0.22461555898189545,-0.1370934545993805,5.452276229858398
13,0.11963346600532532,-0.09390024095773697,5.484135150909424
14,0.25316929817199707,-0.07965138554573059,5.543591499328613
15,0.22796028852462769,-0.2284393012523651,5.449331760406494
16,0.042985960841178894,-0.13046176731586456,5.4612345695495605
17,0.3155197203159332,-0.12622542679309845,5.5878167152404785
18,-0.16972535848617554,-0.19459564983844757,5.569523334503174
19,0.25933706760406494,-0.24925827980041504,5.804037094116211
20,-0.08130377531051636,-0.3863351345062256,5.649855613708496
21,0.18499037623405457,-0.47026121616363525,5.829858779907227
22,-0.056514251977205276,-0.4579005539417267,5.642997741699219
23,0.19227537512779236,-0.5458570718765259,5.842456340789795
