frame,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z,R00,R01,R02,R10,R11,R12,R20,R21,R22,t0,t1,t2,num_inliers,num_corr
frame_000000.jpg,-0.0016456104629623029,0.0013800229408910602,3.1413718919187428,0.002167887125220137,-0.0015578255366476123,-0.0002417378077850679,-0.999999426954698,-0.00022048772589922192,-0.0010476046192624622,0.00021956720336994203,-0.9999995898149318,0.0008787264713565815,-0.0010477979379520468,0.0008784959481900164,0.999999065181738,0.002167887125220137,-0.0015578255366476123,-0.0002417378077850679,113,209
frame_000001.jpg,0.003253459231507365,-0.00047804362754952904,3.14161097109908,-0.0031149642706403977,0.0006202210661409117,0.0010903465145413727,-0.9999978548577481,1.97233486571367e-05,0.002071205178605099,-2.035367812087706e-05,-0.9999999534908287,-0.00030430916552000954,0.002071199080279291,-0.00030435066937708853,0.9999978087501193,-0.0031149642706403977,0.0006202210661409117,0.0010903465145413727,109,208
frame_000002.jpg,0.0013510655771568018,0.0017978287314004253,3.1413254336986545,-0.0008701575135695774,-0.0018068630981506117,-0.0004043294324841241,-0.999999594549858,-0.00026592251600639113,0.0008603402438573115,0.0002669071133179236,-0.9999993094222067,0.0011445154881689484,0.0008600352972872223,0.0011447446550559405,0.9999989749489555,-0.0008701575135695774,-0.0018068630981506117,-0.0004043294324841241,112,213
frame_000003.jpg,0.0026754184961149947,0.002162507403328482,3.1414379231132723,-0.0027470494048273696,-0.0015486428703158832,0.0006598302752124851,-0.9999985376912394,-0.00015167428009252198,0.0017034113701003821,0.00015401932860635025,-0.9999990405821797,0.0013766309478630359,0.0017032009363091882,0.001376891293079104,0.9999976016355924,-0.0027470494048273696,-0.0015486428703158832,0.0006598302752124851,102,217
frame_000004.jpg,-0.0021524156524662,0.0018348627941446722,3.1408824798245454,0.002992476630754771,-0.0019552542533936815,-0.00199439664282836,-0.9999988094860447,-0.0007097006270403314,-0.0013701647759251376,0.0007080992782109119,-0.9999990661818704,0.0011688587594134382,-0.0013709930362349066,0.0011678871551819108,0.9999983782075279,0.002992476630754771,-0.0019552542533936815,-0.00199439664282836,115,224
frame_000005.jpg,-0.0027728071079611335,0.0029415362250295057,3.140743567397382,0.0036619322609555615,-0.0028569258106314497,-0.00113929010791133,-0.999998082884589,-0.0008481376274000671,-0.001764905014887794,0.0008448302169373669,-0.9999978873963634,0.0018738902621924173,-0.0017664906031840252,0.0018723956246419159,0.9999966868172978,0.0036619322609555615,-0.0028569258106314497,-0.00113929010791133,113,222
frame_000006.jpg,-0.0028567589450994965,0.0008724593681997939,-3.1412791059214022,-0.0029474482278081956,0.0005163926304454584,0.0001634528216646601,-0.9999982971807022,0.0003116221920480868,0.001818935761736317,-0.000312632526920096,-0.9999997970091584,-0.0005551959519429457,0.0018187623811294555,-0.0005557636650280617,0.9999981916134393,-0.0029474482278081956,0.0005163926304454584,0.0001634528216646601,114,219
frame_000007.jpg,-0.001135959935872165,0.004512740529354794,3.1412383692941663,0.0018240928605768106,-0.004653279195464014,-0.0003332375496731268,-0.9999996769074452,-0.0003518760154587072,-0.0007227504928503742,0.0003497979433393153,-0.9999958107580571,0.002873344346747259,-0.0007237585260334694,0.002873090601755146,0.9999956107523628,0.0018240928605768106,-0.004653279195464014,-0.0003332375496731268,106,222
frame_000008.jpg,0.004678621539164845,0.00581388945595293,3.1403779164747583,-0.0047392305666968245,-0.005997947869609709,0.0007381003742105923,-0.9999948337930016,-0.0012003502296838596,0.0029818696539739946,0.0012113828389513158,-0.9999924181021557,0.00370084987821906,0.002977404729741547,0.0037044429445893326,0.9999887060179959,-0.0047392305666968245,-0.005997947869609709,0.0007381003742105923,106,218
frame_000009.jpg,0.0008218888533389972,-0.0008985220442794966,3.1412148345623483,-0.00047677147524874484,0.0014865611600554864,0.0007626545860728864,-0.9999997917974559,-0.0003777326442799748,0.000523185525666183,0.0003774332755340524,-0.999999765074547,-0.000572184387358451,0.0005234015354782391,-0.0005719868006015417,0.9999996994409207,-0.00047677147524874484,0.0014865611600554864,0.0007626545860728864,109,213
